region,date,frequency,unemployment_rate,employed,labour_participation_rate
Urban,2017-07-30, W,3.33,129722668.0,41.16
Total,2017-07-30, W,2.96,405866989.0,43.03
Rural,2017-07-30, W,2.79,276144321.0,43.97
Urban,2017-08-06, W,4.01,129983226.0,41.52
Rural,2017-08-06, W,2.73,284205855.0,45.21
Total,2017-08-06, W,3.14,414189081.0,43.97
Rural,2017-08-13, W,4.03,275638852.0,44.42
Total,2017-08-13, W,4.37,406296758.0,43.67
Urban,2017-08-13, W,5.09,130657906.0,42.19
Rural,2017-08-20, W,3.79,274745041.0,44.14
Total,2017-08-20, W,4.12,403867660.0,43.27
Urban,2017-08-20, W,4.81,129122618.0,41.55
Rural,2017-08-27, W,3.24,280993234.0,44.87
Total,2017-08-27, W,3.55,407218960.0,43.35
Urban,2017-08-27, W,4.23,126225725.0,40.35
Rural,2017-09-03, W,4.12,288288159.0,46.44
Total,2017-09-03, W,4.22,419138623.0,44.92
Urban,2017-09-03, W,4.44,130850464.0,41.9
Total,2017-09-10, W,4.99,405639958.0,43.8
Urban,2017-09-10, W,5.84,128152468.0,41.63
Rural,2017-09-10, W,4.59,277487490.0,44.9
Urban,2017-09-17, W,5.75,128254028.0,41.6
Total,2017-09-17, W,4.11,415692012.0,44.45
Rural,2017-09-17, W,3.35,287437984.0,45.89
Urban,2017-09-24, W,5.45,129572637.0,41.88
Total,2017-09-24, W,3.59,403606798.0,42.91
Rural,2017-09-24, W,2.69,274034161.0,43.44
Total,2017-10-01, W,4.43,410526592.0,44.01
Rural,2017-10-01, W,3.11,283301506.0,45.08
Urban,2017-10-01, W,7.23,127225085.0,41.89
Rural,2017-10-08, W,4.01,289649534.0,46.51
Urban,2017-10-08, W,8.1,126573572.0,42.05
Total,2017-10-08, W,5.3,416223106.0,45.01
Rural,2017-10-15, W,3.96,277324753.0,44.48
Urban,2017-10-15, W,7.03,129415912.0,42.47
Total,2017-10-15, W,4.96,406740665.0,43.81
Rural,2017-10-22, W,7.31,279132801.0,46.37
Total,2017-10-22, W,6.47,418948309.0,45.83
Urban,2017-10-22, W,4.75,139815507.0,44.77
Total,2017-10-29, W,4.32,404189405.0,43.21
Urban,2017-10-29, W,5.07,131019292.0,42.07
Rural,2017-10-29, W,3.96,273170113.0,43.78
Total,2017-11-05, W,5.38,407217383.0,44.0
Urban,2017-11-05, W,5.19,130453413.0,41.92
Rural,2017-11-05, W,5.47,276763970.0,45.04
Total,2017-11-12, W,5.71,402530097.0,43.62
Urban,2017-11-12, W,6.01,127443641.0,41.29
Rural,2017-11-12, W,5.57,275086456.0,44.8
Total,2017-11-19, W,4.97,414097387.0,44.51
Urban,2017-11-19, W,4.74,129686976.0,41.44
Rural,2017-11-19, W,5.08,284410411.0,46.06
Total,2017-11-26, W,3.91,409487569.0,43.51
Rural,2017-11-26, W,3.3,281283875.0,44.69
Urban,2017-11-26, W,5.23,128203694.0,41.16
Rural,2017-12-03, W,4.2,281424590.0,45.12
Urban,2017-12-03, W,5.57,129891167.0,41.83
Total,2017-12-03, W,4.63,411315757.0,44.01
Rural,2017-12-10, W,4.27,282537243.0,45.31
Urban,2017-12-10, W,4.99,128790443.0,41.2
Total,2017-12-10, W,4.5,411327686.0,43.93
Urban,2017-12-17, W,5.26,132113186.0,42.36
Total,2017-12-17, W,4.98,416386485.0,44.68
Rural,2017-12-17, W,4.85,284273299.0,45.85
Total,2017-12-24, W,4.82,401183807.0,42.96
Rural,2017-12-24, W,4.64,271434266.0,43.66
Urban,2017-12-24, W,5.2,129749541.0,41.56
Total,2017-12-31, W,5.45,409032087.0,44.07
Rural,2017-12-31, W,5.41,277300465.0,44.94
Urban,2017-12-31, W,5.54,131731621.0,42.33
Total,2018-01-07, W,5.39,395469333.0,42.56
Urban,2018-01-07, W,6.62,125232043.0,40.68
Rural,2018-01-07, W,4.81,270237290.0,43.51
Urban,2018-01-14, W,6.37,127121561.0,41.17
Rural,2018-01-14, W,3.63,282551598.0,44.91
Total,2018-01-14, W,4.5,409673159.0,43.65
Urban,2018-01-21, W,5.99,127820073.0,41.2
Rural,2018-01-21, W,3.94,277117580.0,44.17
Total,2018-01-21, W,4.6,404937653.0,43.18
Urban,2018-01-28, W,5.61,128247019.0,41.15
Rural,2018-01-28, W,5.02,269441638.0,43.42
Total,2018-01-28, W,5.21,397688657.0,42.66
Urban,2018-02-04, W,6.15,130003642.0,41.94
Rural,2018-02-04, W,4.76,279450995.0,44.89
Total,2018-02-04, W,5.2,409454638.0,43.9
Rural,2018-02-11, W,6.14,279194542.0,45.49
Total,2018-02-11, W,6.37,408877812.0,44.36
Urban,2018-02-11, W,6.87,129683270.0,42.14
Total,2018-02-18, W,5.97,403291427.0,43.55
Rural,2018-02-18, W,5.95,272529631.0,44.29
Urban,2018-02-18, W,6.01,130761796.0,42.08
Total,2018-02-25, W,7.5,409776855.0,44.96
Rural,2018-02-25, W,7.88,276913732.0,45.92
Urban,2018-02-25, W,6.71,132863123.0,43.06
Rural,2018-03-04, W,7.21,269783302.0,44.4
Urban,2018-03-04, W,6.84,128146691.0,41.57
Total,2018-03-04, W,7.09,397929993.0,43.45
Urban,2018-03-11, W,6.72,129076274.0,41.79
Total,2018-03-11, W,6.1,397107912.0,42.88
Rural,2018-03-11, W,5.79,268031638.0,43.43
Urban,2018-03-18, W,6.16,127811665.0,41.12
Total,2018-03-18, W,6.37,396822319.0,42.96
Rural,2018-03-18, W,6.47,269010655.0,43.89
Urban,2018-03-25, W,6.52,127693305.0,41.22
Rural,2018-03-25, W,5.79,275688120.0,44.63
Total,2018-03-25, W,6.02,403381425.0,43.48
Rural,2018-04-01, W,6.55,275018348.0,44.87
Total,2018-04-01, W,6.41,401245466.0,43.41
Urban,2018-04-01, W,6.09,126227118.0,40.54
Rural,2018-04-08, W,5.97,270085326.0,43.77
Total,2018-04-08, W,6.22,400278571.0,43.2
Urban,2018-04-08, W,6.75,130193245.0,42.09
Rural,2018-04-15, W,6.57,267945538.0,43.69
Total,2018-04-15, W,6.5,394421261.0,42.68
Urban,2018-04-15, W,6.33,126475722.0,40.68
Rural,2018-04-22, W,7.7,271213422.0,44.74
Total,2018-04-22, W,7.35,396687271.0,43.3
Urban,2018-04-22, W,6.57,125473850.0,40.44
Rural,2018-04-29, W,3.7,284381269.0,44.94
Urban,2018-04-29, W,6.05,125631185.0,40.25
Total,2018-04-29, W,4.43,410012453.0,43.37
Urban,2018-05-06, W,6.72,125849988.0,40.59
Total,2018-05-06, W,4.84,405390305.0,43.04
Rural,2018-05-06, W,3.96,279540317.0,44.28
Urban,2018-05-13, W,5.67,126115865.0,40.2
Total,2018-05-13, W,4.65,407131621.0,43.12
Rural,2018-05-13, W,4.18,281015756.0,44.59
